DateTime,AirTemp,Pressure,WindSpeed,PowerGen
2019-01-01 01:00:00,10.926,0.979103,9.014,33.6881
2019-01-01 02:00:00,9.919,0.979566,9.428,37.2619
2019-01-01 03:00:00,8.567,0.979937,8.7,30.5029
2019-01-01 04:00:00,7.877,0.980053,8.481,28.4192
2019-01-01 05:00:00,7.259,0.979867,8.383,27.3703
2019-01-01 06:00:00,6.57,0.979884,8.256,25.8059
2019-01-01 07:00:00,5.897,0.980318,6.476,11.5468
2019-01-01 08:00:00,5.109,0.980597,5.906,8.36076
2019-01-01 09:00:00,4.413,0.980711,5.557,6.42664
2019-01-01 10:00:00,3.754,0.980902,6.081,9.34945
2019-01-01 11:00:00,3.169,0.981166,7.384,18.6136
2019-01-01 12:00:00,2.637,0.981347,9.072,35.3811
2019-01-01 13:00:00,1.948,0.981703,7.142,17.3315
2019-01-01 14:00:00,2.296,0.982196,7.451,19.8723
2019-01-01 15:00:00,4.042,0.982576,5.764,8.19046
2019-01-01 16:00:00,5.504,0.982961,5.887,8.7318
2019-01-01 17:00:00,6.217,0.983083,5.866,8.57877
2019-01-01 18:00:00,6.74,0.983409,6.266,11.03
2019-01-01 19:00:00,7.25,0.983824,6.278,11.0884
2019-01-01 20:00:00,7.579,0.984266,6.311,11.2202
2019-01-01 21:00:00,7.612,0.984686,6.864,14.6931
2019-01-01 22:00:00,7.139,0.985268,6.904,15.0647
2019-01-01 23:00:00,5.44,0.986055,7.024,16.2475
2019-01-02 00:00:00,4.506,0.986852,9.013,34.74
2019-01-02 01:00:00,3.621,0.987624,9.166,35.3936
2019-01-02 02:00:00,2.707,0.988206,9.128,35.2784
2019-01-02 03:00:00,2.043,0.988741,9.849,43.5828
2019-01-02 04:00:00,1.268,0.988973,9.738,42.3415
2019-01-02 05:00:00,0.357,0.989072,9.544,40.3467
2019-01-02 06:00:00,-0.702,0.989481,9.712,42.2588
2019-01-02 07:00:00,-0.28,0.989868,10.046,45.5699
2019-01-02 08:00:00,-0.126,0.990032,9.75,41.6162
2019-01-02 09:00:00,-0.215,0.990204,9.874,42.9783
2019-01-02 10:00:00,-0.281,0.990265,9.755,41.3066
2019-01-02 11:00:00,-0.478,0.990621,9.614,39.9035
2019-01-02 12:00:00,-0.631,0.990962,9.616,40.5643
2019-01-02 13:00:00,-0.747,0.991278,9.817,42.8628
2019-01-02 14:00:00,0.001,0.991638,9.215,37.0646
2019-01-02 15:00:00,2.156,0.991861,6.991,16.0518
2019-01-02 16:00:00,3.901,0.991989,5.11,4.92684
2019-01-02 17:00:00,5.578,0.991843,3.946,1.3034
2019-01-02 18:00:00,7.039,0.991669,3.04,0
2019-01-02 19:00:00,8.243,0.991462,2.38,0
2019-01-02 20:00:00,9.203,0.991194,2.068,0
2019-01-02 21:00:00,9.808,0.990899,1.886,0
2019-01-02 22:00:00,9.349,0.990634,2.426,0
2019-01-02 23:00:00,5.977,0.990709,3.412,0
2019-01-03 00:00:00,4.652,0.990939,3.803,0.995606
2019-01-03 01:00:00,3.956,0.99108,4.11,1.66172
2019-01-03 02:00:00,3.119,0.991185,4.612,3.06072
2019-01-03 03:00:00,2.503,0.991121,6.282,11.3547
2019-01-03 04:00:00,1.743,0.990967,6.774,14.3691
2019-01-03 05:00:00,1.087,0.990807,7.591,21.2785
2019-01-03 06:00:00,0.724,0.990834,8.96,34.7533
2019-01-03 07:00:00,1.144,0.991063,10.019,45.8952
2019-01-03 08:00:00,1.868,0.991178,8.921,34.2257
2019-01-03 09:00:00,1.606,0.99126,8.569,30.2575
2019-01-03 10:00:00,1.283,0.991386,8.345,28.0582
2019-01-03 11:00:00,1.081,0.991667,7.838,23.2929
2019-01-03 12:00:00,1.068,0.991865,8.433,29.0654
2019-01-03 13:00:00,1.056,0.992048,8.896,34.1092
2019-01-03 14:00:00,1.937,0.992169,8.901,34.0528
2019-01-03 15:00:00,4.047,0.992188,7.182,17.7016
2019-01-03 16:00:00,6.377,0.991966,5.034,4.53884
2019-01-03 17:00:00,8.406,0.991383,4.62,3.02651
2019-01-03 18:00:00,9.954,0.990889,4.318,2.19334
2019-01-03 19:00:00,11.128,0.99037,3.949,1.26536
2019-01-03 20:00:00,12.128,0.989766,4.602,2.90609
2019-01-03 21:00:00,12.364,0.989237,4.91,3.95308
2019-01-03 22:00:00,11.649,0.988795,4.899,3.88915
2019-01-03 23:00:00,8.479,0.988598,5.525,6.63176
2019-01-04 00:00:00,6.938,0.988555,6.97,15.134
2019-01-04 01:00:00,6.091,0.988491,6.66,13.2875
2019-01-04 02:00:00,5.456,0.988371,6.307,11.3761
2019-01-04 03:00:00,5.872,0.988303,7.583,20.373
2019-01-04 04:00:00,5.641,0.988076,9.487,37.6814
2019-01-04 05:00:00,5.433,0.987649,9.275,35.938
2019-01-04 06:00:00,5.395,0.987472,8.153,24.8463
2019-01-04 07:00:00,6.506,0.987403,6.892,14.7193
2019-01-04 08:00:00,6.861,0.9872,6.166,10.3735
2019-01-04 09:00:00,7.258,0.986888,6.368,11.5098
2019-01-04 10:00:00,7.487,0.986579,6.201,10.7184
2019-01-04 11:00:00,7.654,0.986389,6.378,11.5
2019-01-04 12:00:00,7.957,0.986043,6.445,11.7928
2019-01-04 13:00:00,7.915,0.98563,6.624,12.81
2019-01-04 14:00:00,7.344,0.985335,6.379,11.4592
2019-01-04 15:00:00,8.452,0.985032,5.887,8.61617
2019-01-04 16:00:00,11.127,0.984393,4.332,2.20777
2019-01-04 17:00:00,13.487,0.98354,4.25,1.95681
2019-01-04 18:00:00,15.949,0.982735,6.576,11.7613
2019-01-04 19:00:00,16.747,0.982202,6.853,13.8303
2019-01-04 20:00:00,16.091,0.981877,5.745,7.7609
2019-01-04 21:00:00,16.355,0.98104,5.425,5.70692
2019-01-04 22:00:00,15.16,0.980077,7.678,20.6024
2019-01-04 23:00:00,14.947,0.979534,8.307,26.2429
2019-01-05 00:00:00,15.222,0.979209,8.574,28.2442
2019-01-05 01:00:00,15.448,0.979178,9.42,35.6044
2019-01-05 02:00:00,15.39,0.979083,9.474,36.7624
2019-01-05 03:00:00,15.357,0.978637,8.546,27.4982
2019-01-05 04:00:00,15.268,0.978039,8.725,28.9533
2019-01-05 05:00:00,15.131,0.977431,8.508,26.9788
2019-01-05 06:00:00,15.155,0.976866,9.454,36.038
2019-01-05 07:00:00,15.058,0.976353,9.97,41.2384
2019-01-05 08:00:00,15.037,0.975986,10.262,44.0998
2019-01-05 09:00:00,15.052,0.975404,8.961,31.5706
2019-01-05 10:00:00,15.257,0.974728,8.6,28.5292
2019-01-05 11:00:00,15.404,0.974009,9.067,33.5099
2019-01-05 12:00:00,15.657,0.973727,8.593,27.5386
2019-01-05 13:00:00,15.758,0.973239,9.845,39.4281
2019-01-05 14:00:00,15.695,0.97332,9.735,39.1512
2019-01-05 15:00:00,16.621,0.973417,9.84,40.6945
2019-01-05 16:00:00,17.127,0.973212,9.518,37.0919
2019-01-05 17:00:00,17.4,0.972966,9.515,36.9382
2019-01-05 18:00:00,17.648,0.972669,8.274,25.5452
2019-01-05 19:00:00,17.5,0.97279,7.343,17.8633
2019-01-05 20:00:00,18.034,0.97284,6.881,14.2043
2019-01-05 21:00:00,18.291,0.972971,8.224,24.9939
2019-01-05 22:00:00,17.533,0.9733,8.768,30.1481
2019-01-05 23:00:00,15.283,0.974008,8.179,24.7736
2019-01-06 00:00:00,12.697,0.974688,7.68,20.7047
2019-01-06 01:00:00,11.746,0.975226,8.602,28.5237
2019-01-06 02:00:00,10.843,0.975844,8.189,24.6865
2019-01-06 03:00:00,9.822,0.976413,5.936,8.55596
2019-01-06 04:00:00,9.268,0.976694,4.315,2.14469
2019-01-06 05:00:00,8.8,0.976789,3.774,0.917818
2019-01-06 06:00:00,8.042,0.977037,3.942,1.27004
2019-01-06 07:00:00,8.405,0.97751,4.622,2.86884
2019-01-06 08:00:00,8.405,0.977825,5.112,4.61359
2019-01-06 09:00:00,7.816,0.978276,7.025,15.6459
2019-01-06 10:00:00,9.442,0.978511,6.381,11.3643
2019-01-06 11:00:00,9.367,0.979247,4.433,2.47438
2019-01-06 12:00:00,9.881,0.979626,3.836,1.04475
